Especie,ANP,Caracterizado,Estatus IUCN,Estatus NOM-059,Localidad tipo,Nombre común,Ubicación por Estado
A. andersoni,La Laguna de Zacapu,"Krebs y Brandon,1984",CR (Críticamente Amenazada),Pr (Protección Especial),"“Laguna de Zacapu, 2000 m.s.n.m., Michoacán, México”.",Achoque de Zacapu,Michoacán
A. bombypellum,"Sin presencia ","Taylor, 1940",CR (Críticamente Amenazada),Pr (Protección Especial),"Cerca del Rancho Guadalupe, 14 km. este de San Martín (Asunción), México",Axolote de piel fina,"Estado de México, Michoacán"
A. amblycephalum,"Sin presencia ","Taylor, 1940",CR (Críticamente Amenazada),Pr (Protección Especial),"15 km. al oeste de Morelia (Tacícuaro), Michoacán,",Axolote de cabeza chata,Michoacán
A. altamirani,"Parque Nacional Lagunas de Zempoala, Parque Nacional Cumbres del Ajusco y el Parque Nacional Desierto de los Leones","Dugès, 1985",EN (En Peligro),A (Amenazada),"“Manantial de los Axolotes” en la serranía de las Cruces perteneciente al Valle de México. 3,100 msnm."," Ajolote de arroyo de montaña, Axolote de Zempoala","CDMX, Estado de México"
A. granulosum,"Sin presencia ","Taylor, 1944",CR (Críticamente Amenazada),Pr (Protección Especial),"“km. 74, aproximadamente 12 millas al noroeste de Toluca, México, México",Axolote de Toluca,Estado de México
A. dumerili,"Sin presencia ","Dugè, 1870",CR (Críticamente Amenazada),Pr (Protección Especial),"“laguna de Pátzcuaro, Michoacán, México, 2,055 pies de altitud”.","Achoque de Pátzcuaro, Achójki",Michoacán
A. leorae,Parque Nacional Iztaccíhuatl-Popocatépetl.,"Taylor, 1943",CR (Críticamente Amenazada),A (Amenazada),“Río de montaña cerca de Río Frío”,Axolote de Río Frío,"Estado de México, Puebla"
A. flavipiperatum,Sierra de Quila,"Dixon, 1953",EN (En Peligro),Pr (Protección Especial),"“una milla al norte de Santa Cruz, Jalisco, México, 4,900 pies de altitud”.",Axolote de Chapala,Jalisco
A. mexicanum,Sitio Ramsar “Ejidos de Xochimilco y San Gregorio”,"Shaw y Nodder, 1978",CR (Críticamente Amenazada),P (En Peligro),"Valle de México, en los lagos de Texcoco y Zumpango Xochimilco, Texcoco, Zumpango y Chalco","Axolote, Axolote de Xochimilco, Axolote mexicano",CDMX
A. rosaceum,"Cerro Mohinora en el Municipio de Guadalupe y Calvo, Área de Protección de Flora y Fauna Campo Verde","Tylor, 1941",LC (Preocupación Menor),Pr (Protección Especial),"“Mojárachic, Chihuahua, México”. Sierra Madre Occi-
dental","Axolote rosado, Axolote tarahumara, Salamandra de la Sierra Madre Occidental, Salamandra tarahumara.","Chihuahua, Durango, Jalisco, Nayarit, Sinaloa, Sonora, Zacatecas"
A. velasci,No se conoce con certeza la distribución de esta especie dentro de ANP sin embargo es pro bable que ocurra en algunas de ellas,"Dugès, 1888",LC (Preocupación Menor),Pr (Protección Especial),"“Lago de Santa Isabel, Cerca de la Villa de Hidalgo, México” , Villa Gustavo Madero",Axolote del altiplano,"CDMX, Coahuila, Estado de México, Michoacán, Puebla, Querétaro, Tlaxcala, Veracruz"
A. lermaense,"Área de Protección de Flora y Fauna Ciénagas de
Lerma","Taylor, 1940",CR (Críticamente Amenazada),Pr (Protección Especial),"“Lago Lerma, este de Toluca¨",Axolote de Lerma,Estado de México
A. mavortium,Sin presencia,"Baird, 1850",LC (Preocupación Menor),---,"“Valle del Río Grande, entre Santa Fé, Nuevo México, y El Paso, Texas¨",Axolote tigre rayado,"Canada, Chihuahua, Coahuila, Nuevo Mexico (US), Sonora, Texas (US)"
A. rivulare,"Parque Nacional Nevado de Toluca y en la Reserva de la
Biósfera Mariposa Monarca en el Santuario de Chincua","Taylor, 1940",DD (Datos Deficientes),A (Amenazada),"“Cerca de 13 km. al oeste de Villa Victoria, México, en un pequeño arroyo dentro de un bosque de pino","Axolote de arroyo de Michoacán, Ajolote arroyero de Toluca","Estado de México, Guerrero"
A. taylori,Sin información,"Brandon et al, 1981",EN (En Peligro),Pr (Protección Especial),"“Laguna Alchichica, Puebla, México, alrededor de 24 km al suroeste Perote”.",Axolote de Alchichica,Puebla
A. ordinarium,Parque Nacional Bosencheve,"Taylor, 1940",EN (En Peligro),Pr (Protección Especial),"¨Pequeño arroyo a una elevación de 9,000 pies, 4 millas al oeste de El Mirador, cerca de Puerto Hondo¨",Achoque de Michoacán,"Estado de México, Michoacán"
A. silvense,Sin información,"Webb, 2004",DD (Datos Deficientes),No está evaluado,"“Una poza a 4.5 millas (7.2 km) al noreste de Navios (Navios ca. 23° 54′ N, 105° 03′ W), 8,000 pies (2,438 m)",Axolote del bosque de pino,Durango
